,strcture TS2,deltaG ,distance Fe-Cl
Mn structures,nap_mn_1_ring1_(CO)3,,3.62
Mn structures,nap_mn_2_ring1_(CO)3,13.809,3.6
Mn structures,nap_mn_5_ring2_(CO)3,,4.44
Mn structures,nap_mn_6_ring2_(CO)3,,5.72
Mn structures,bip_Mn_2_ring1_(CO)3,12.55,3.65
Mn structures,bip_Mn_2_ring2_(CO)3,32.17,5.18
Mn structures,bip_Mn_3_ring1_(CO)3,12.71,3.61
Mn structures,bip_Mn_3_ring2_(CO)3,32.67,7.15
Mn structures,bip_Mn_4_ring1_(CO)3,12.42,3.61
Mn structures,bip_Mn_4_ring2_(CO)3,28.09,7.6
